Tamanho,M,N,Variáveis,Biblioteca,Biblioteca_ID,Tempo_Medio,Tempo_Desvio,Tempo_Min,Tempo_Max,Memoria_MB,Iteracoes,Taxa_Sucesso
50x50,50,50,2500,Implementação Manual,manual,2.506813168525696,0.13216414317610628,2.2103114128112793,2.6728873252868652,1.36921875,138.0,100.0
50x50,50,50,2500,SciPy (linprog),scipy,0.04320623874664307,0.01594854342164498,0.03686833381652832,0.08845186233520508,0.60546875,132.4,100.0
50x50,50,50,2500,PuLP,pulp,0.11379735469818116,0.06295744005704433,0.09071087837219238,0.2928628921508789,0.31625000000000003,0.0,100.0
50x50,50,50,2500,OR-Tools,ortools,0.017376065254211426,0.0023247718793919328,0.014482259750366211,0.021708250045776367,0.27515625,129.4,100.0
60x60,60,60,3600,Implementação Manual,manual,5.272381067276001,0.374476639094334,4.746344327926636,5.748950719833374,1.286796875,166.7,100.0
60x60,60,60,3600,SciPy (linprog),scipy,0.05654828548431397,0.001613437540353789,0.053700923919677734,0.058472633361816406,0.18796875000000002,162.7,100.0
60x60,60,60,3600,PuLP,pulp,0.13057119846343995,0.012773016814889635,0.11451959609985352,0.14617395401000977,0.49578125,0.0,100.0
60x60,60,60,3600,OR-Tools,ortools,0.024962973594665528,0.0020372142458595886,0.022078514099121094,0.02771306037902832,0.1,171.3,100.0
70x70,70,70,4900,Implementação Manual,manual,10.970801258087159,1.2705524164534017,9.292823314666748,12.939337730407715,0.91296875,203.7,100.0
70x70,70,70,4900,SciPy (linprog),scipy,0.08218472003936768,0.0036525391480340366,0.0779428482055664,0.08786463737487793,0.11164062500000001,182.8,100.0
70x70,70,70,4900,PuLP,pulp,0.13978657722473145,0.006180753551368559,0.13529658317565918,0.15543413162231445,1.012890625,0.0,100.0
70x70,70,70,4900,OR-Tools,ortools,0.033327794075012206,0.0020894388401619273,0.029626846313476562,0.03615880012512207,0.1,194.4,100.0
80x80,80,80,6400,Implementação Manual,manual,19.468005228042603,2.276479141136999,16.471747398376465,22.73764443397522,1.717578125,240.8,100.0
80x80,80,80,6400,SciPy (linprog),scipy,0.10830478668212891,0.00334327282502017,0.1042020320892334,0.1142418384552002,0.17445312500000001,210.9,100.0
80x80,80,80,6400,PuLP,pulp,0.16698906421661378,0.006042254916661513,0.1603233814239502,0.17728543281555176,0.516953125,0.0,100.0
80x80,80,80,6400,OR-Tools,ortools,0.04094858169555664,0.0015012565600001017,0.038973093032836914,0.04334545135498047,1.390234375,228.8,100.0
90x90,90,90,8100,Implementação Manual,manual,32.11445024013519,4.015045196549407,27.555873155593872,41.61051154136658,1.808984375,272.7,100.0
90x90,90,90,8100,SciPy (linprog),scipy,0.14658548831939697,0.009416156589251233,0.14014196395874023,0.16554546356201172,1.15,242.1,100.0
90x90,90,90,8100,PuLP,pulp,0.19960062503814696,0.002227807783242939,0.19612479209899902,0.20456194877624512,0.288828125,0.0,100.0
90x90,90,90,8100,OR-Tools,ortools,0.05232062339782715,0.0018707117481405334,0.04908394813537598,0.0557560920715332,0.970078125,274.1,100.0
100x100,100,100,10000,Implementação Manual,manual,55.156623411178586,5.876451257618561,47.09511160850525,69.41354298591614,1.726875,308.0,100.0
100x100,100,100,10000,SciPy (linprog),scipy,0.19444653987884522,0.01997586611388253,0.1808030605316162,0.2485346794128418,3.644375,267.7,100.0
100x100,100,100,10000,PuLP,pulp,0.2394239902496338,0.005275210224733375,0.22838330268859863,0.24824166297912598,0.113046875,0.0,100.0
100x100,100,100,10000,OR-Tools,ortools,0.06852529048919678,0.0028975776625311217,0.06437301635742188,0.0735316276550293,1.146875,316.9,100.0
